url;rating;number_of_reviews;longitude;latitude;menu_item;price
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"150g Zelené fazolky na slanině a česneku";"65 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"200g Grilovaná zelenina";"70 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"200g Míchaný zeleninový salát";"80 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"175g Rozpečená bageta s bylinkovým máslem";"58 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"200g Ošatka chleba";"26 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"Pepřová omáčka";"40 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"Čertovská omáčka";"40 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"Houbová omáčka";"40 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"Kečup";"15 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"Hořčice";"15 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"Česneková majonéza";"30 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"Bylinkový dresing";"28 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"Tatarská omáčka";"28 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"Pikantní studená omáčka";"28 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"Pikantní sladká omáčka";"30 Kč"
