name;region;url;rating;number_of_reviews;latitude;longitude;menu_item;price
Pub U Hrocha;Karlovy Vary;https://www.firmy.cz/detail/13737879-pub-u-hrocha-citice.html;4.6;15;50.162216;12.614763;None;None
Klubovna;Karlovy Vary;https://www.firmy.cz/detail/13823990-klubovna-otovice.html;None;None;50.256436;12.871833;None;None
Hospoda Ve Mlýně;Karlovy Vary;https://www.firmy.cz/detail/677310-hospoda-ve-mlyne-vojkovice-jakubov.html;4.8;31;50.317576;13.026984;None;None
Jitka Kotalová;Karlovy Vary;https://www.firmy.cz/detail/13125412-jitka-kotalova-as.html;4.9;12;50.227506;12.207279;None;None
Hospůdka Kemp Liapor;Karlovy Vary;https://www.firmy.cz/detail/12995836-hospudka-kemp-liapor-karlovy-vary-doubi.html;3.9;15;50.211679;12.819127;None;None
Na Boudách;Karlovy Vary;https://www.firmy.cz/detail/13104988-na-boudach-jachymov-marianska.html;4.1;5;50.356007;12.892336;None;None
Restaurace u Edity;Karlovy Vary;https://www.firmy.cz/detail/13134070-restaurace-u-edity-libavske-udoli.html;5;1;50.128649;12.550701;None;None
Hospůdka U Hada;Karlovy Vary;https://www.firmy.cz/detail/12754878-hospudka-u-hada-jachymov.html;4.8;98;50.375017;12.911577;None;None
Pilska hospoda;Karlovy Vary;https://www.firmy.cz/detail/13666211-pilska-hospoda-pila.html;4.4;3;50.183834;12.928671;None;None
Hospoda Salajna;Karlovy Vary;https://www.firmy.cz/detail/13543306-hospoda-salajna-dolni-zandov-salajna.html;None;None;50.026757;12.511885;None;None
Pivnice U Zoji;Karlovy Vary;https://www.firmy.cz/detail/13116061-pivnice-u-zoji-karlovy-vary-stara-role.html;5;2;50.246930;12.830489;None;None
Tyršův dům;Karlovy Vary;https://www.firmy.cz/detail/13353826-tyrsuv-dum-as.html;5;3;50.221018;12.199977;None;None
Bufet v pivovaru;Karlovy Vary;https://www.firmy.cz/detail/13121296-bufet-v-pivovaru-becov-nad-teplou.html;3.4;17;50.083532;12.837942;None;None
Restaurace SK Božičany;Karlovy Vary;https://www.firmy.cz/detail/13141234-restaurace-sk-bozicany-bozicany.html;5;3;50.257248;12.769641;None;None
Hospůdka Duha;Karlovy Vary;https://www.firmy.cz/detail/13375519-hospudka-duha-cheb.html;4.5;1;50.072775;12.377270;None;None
Restaurace U Stadionu 1295/1;Karlovy Vary;https://www.firmy.cz/detail/13139657-restaurace-u-stadionu-1295-1-cheb.html;4.5;5;50.067733;12.375487;None;None
