name;region;url;rating;number_of_reviews;latitude;longitude;menu_item;price
Hostinec U Kapličky;Jihočeský;https://www.firmy.cz/detail/13109404-hostinec-u-kaplicky-strunkovice-nad-volynkou.html;5;1;49.208730;13.890755;None;None
Hostinec Hlavatce;Jihočeský;https://www.firmy.cz/detail/13547368-hostinec-hlavatce-hlavatce.html;None;None;49.295528;14.621132;None;None
Radostická hospůdka;Jihočeský;https://www.firmy.cz/detail/13328402-radosticka-hospudka-borovany-radostice.html;5;4;48.908431;14.608323;None;None
Hostinec u Lieblů;Jihočeský;https://www.firmy.cz/detail/13247336-hostinec-u-lieblu-kamenny-ujezd.html;4.4;5;48.898326;14.447091;None;None
Penzion Kravín;Jihočeský;https://www.firmy.cz/detail/13258379-penzion-kravin-bosilec.html;4.4;21;49.149323;14.646336;None;None
U Kačaby;Jihočeský;https://www.firmy.cz/detail/13512974-u-kacaby-ktis.html;5;1;48.917426;14.132410;None;None
Hospůdka u Bečků;Jihočeský;https://www.firmy.cz/detail/13458332-hospudka-u-becku-petrikov.html;4.8;12;48.842649;14.754337;None;None
Hospůdka Třebín;Jihočeský;https://www.firmy.cz/detail/13631057-hospudka-trebin-dubne-trebin.html;5;3;48.966619;14.383784;None;None
Řípecká hospoda;Jihočeský;https://www.firmy.cz/detail/13837352-ripecka-hospoda-ripec.html;None;None;49.214021;14.736789;None;None
Rožmberský sklípek;Jihočeský;https://www.firmy.cz/detail/2520229-rozmbersky-sklipek-luznice.html;4.3;50;49.057462;14.753003;None;None
Pláž Ostende u rybníka Svět;Jihočeský;https://www.firmy.cz/detail/13125444-plaz-ostende-u-rybnika-svet-domanin.html;4.4;18;48.994248;14.758622;None;None
Hospoda Vodárenská 262;Jihočeský;https://www.firmy.cz/detail/13141184-hospoda-vodarenska-262-strakonice-drazejov.html;5;1;49.274803;13.886845;None;None
Chmelenská hospoda;Jihočeský;https://www.firmy.cz/detail/13139735-chmelenska-hospoda-kremze-chmelna.html;4.8;23;48.934965;14.280480;None;None
Hospoda U Beránků;Jihočeský;https://www.firmy.cz/detail/13118253-hospoda-u-beranku-turovec.html;2;1;49.377141;14.767948;None;None
Snack - Drahuše Mikolášková;Jihočeský;https://www.firmy.cz/detail/2455236-snack-drahuse-mikolaskova-belcice.html;3;5;49.502303;13.875800;None;None
Slavečská hospoda;Jihočeský;https://www.firmy.cz/detail/13671422-slavecska-hospoda-slavce.html;None;None;48.798141;14.614593;None;None
Hospoda Na Kopci Zvěrotice;Jihočeský;https://www.firmy.cz/detail/13103458-hospoda-na-kopci-zverotice-zverotice.html;4;1;49.270512;14.745812;None;None
Chrášťovická hospoda;Jihočeský;https://www.firmy.cz/detail/13111707-chrastovicka-hospoda-chrastovice.html;5;1;49.333180;13.896890;None;None
Hostinec Selský dvůr;Jihočeský;https://www.firmy.cz/detail/13741464-hostinec-selsky-dvur-cizkrajov.html;4.5;1;49.030642;15.390411;None;None
Hospůdka U krokodýla;Jihočeský;https://www.firmy.cz/detail/13056912-hospudka-u-krokodyla-borovany-dvorec.html;2.3;5;48.873072;14.654671;None;None
Miroslav Madej;Jihočeský;https://www.firmy.cz/detail/13111417-miroslav-madej-horice-na-sumave.html;2.5;3;48.765948;14.177471;None;None
Hostinec pod Ločenickým vrchem;Jihočeský;https://www.firmy.cz/detail/12981847-hostinec-pod-locenickym-vrchem-locenice.html;2.8;3;48.823144;14.527491;None;None
Skočická hospoda;Jihočeský;https://www.firmy.cz/detail/13517063-skocicka-hospoda-skocice.html;5;1;49.185842;14.104943;None;None
Hostinec U Kostela;Jihočeský;https://www.firmy.cz/detail/334504-hostinec-u-kostela-ceske-velenice.html;4.4;25;48.769071;14.965647;None;None
Hostinec Na Návsi;Jihočeský;https://www.firmy.cz/detail/13606664-hostinec-na-navsi-strazkovice.html;4.3;6;48.898870;14.568427;None;None
Hospoda Zlukov (Zlukovská hospoda);Jihočeský;https://www.firmy.cz/detail/13842695-hospoda-zlukov-zlukovska-hospoda-zlukov.html;5;2;49.192765;14.745175;None;None
Hospoda U Hřiště;Jihočeský;https://www.firmy.cz/detail/13142277-hospoda-u-hriste-lisov.html;None;None;49.022490;14.615705;None;None
Hospoda U Koubů;Jihočeský;https://www.firmy.cz/detail/13109530-hospoda-u-koubu-borsov-nad-vltavou-jamne.html;4.7;10;48.905759;14.402983;None;None
Hostinec U Balounů;Jihočeský;https://www.firmy.cz/detail/13110922-hostinec-u-balounu-cejetice-mladejovice.html;5;1;49.229681;14.049067;None;None
KD Heřmaň;Jihočeský;https://www.firmy.cz/detail/623849-kd-herman-herman.html;4.3;6;49.234406;14.131216;None;None
Hospůdka U klauna;Jihočeský;https://www.firmy.cz/detail/13810706-hospudka-u-klauna-ceske-budejovice-5.html;5;1;48.968901;14.498225;None;None
Hospůdka U Růženky;Jihočeský;https://www.firmy.cz/detail/13134431-hospudka-u-ruzenky-vimperk-vyskovice.html;4.5;1;49.088043;13.781693;None;None
Hostinec u Koryta;Jihočeský;https://www.firmy.cz/detail/13148986-hostinec-u-koryta-svata-mari.html;None;None;49.064032;13.830814;None;None
Hospůdka u Říhů;Jihočeský;https://www.firmy.cz/detail/13108957-hospudka-u-rihu-ceske-budejovice-5.html;2.5;1;48.958387;14.557062;None;None
Hospoda Na kopečku;Jihočeský;https://www.firmy.cz/detail/13730322-hospoda-na-kopecku-olesnice.html;4.5;13;48.841208;14.704983;None;None
Restaurace Temelín 19;Jihočeský;https://www.firmy.cz/detail/13139380-restaurace-temelin-19-temelin-sedlec.html;5;1;49.173797;14.325615;None;None
Hospoda Na statku;Jihočeský;https://www.firmy.cz/detail/2684274-hospoda-na-statku-zahradky-horni-dvorce.html;4.5;35;49.185607;15.241539;None;None
PIVNICE LUŽNICE;Jihočeský;https://www.firmy.cz/detail/13078030-pivnice-luznice-plana-nad-luznici.html;4;1;49.352385;14.703257;None;None
Hospoda V Ofsajdu;Jihočeský;https://www.firmy.cz/detail/13055576-hospoda-v-ofsajdu-cesky-krumlov-latran.html;None;None;48.816193;14.310309;None;None
Czech Deposit, s.r.o.;Jihočeský;https://www.firmy.cz/detail/13132192-czech-deposit-ceske-budejovice-1.html;None;None;48.975280;14.474738;None;None
Nebahovská hospoda;Jihočeský;https://www.firmy.cz/detail/13129687-nebahovska-hospoda-nebahovy.html;5;1;49.005441;14.053315;None;None
Hospoda na hřišti;Jihočeský;https://www.firmy.cz/detail/13795811-hospoda-na-hristi-choustnik.html;5;2;49.332544;14.834610;None;None
Jihočeská Beseda;Jihočeský;https://www.firmy.cz/detail/13381852-jihoceska-beseda-nova-bystrice.html;2;1;49.019139;15.102338;None;None
Klubovna SK "Na hřišti";Jihočeský;https://www.firmy.cz/detail/13849232-klubovna-sk-na-hristi-vcelna.html;None;None;48.918261;14.457571;None;None
Malšínská hospůdka;Jihočeský;https://www.firmy.cz/detail/13120475-malsinska-hospudka-malsin.html;5;1;48.676999;14.288332;None;None
Pivovarská terasa;Jihočeský;https://www.firmy.cz/detail/13879819-pivovarska-terasa-trebon-i.html;4.2;3;49.001914;14.771622;None;None
Hospůdka Dolní Stropnice;Jihočeský;https://www.firmy.cz/detail/13143507-hospudka-dolni-stropnice-rimov-dolni-stropnice.html;4.8;5;48.877558;14.507771;None;None
Pivní bar Na váze;Jihočeský;https://www.firmy.cz/detail/13108945-pivni-bar-na-vaze-jindrichuv-hradec-ii.html;4.3;3;49.148359;15.002496;None;None
Hospoda Na kopečku;Jihočeský;https://www.firmy.cz/detail/13730322-hospoda-na-kopecku-olesnice.html;4.5;13;48.841208;14.704983;None;None
Hospoda Ve Škole;Jihočeský;https://www.firmy.cz/detail/13359769-hospoda-ve-skole-sebirov.html;5;2;49.565808;14.825166;None;None
Medová hospůdka;Jihočeský;https://www.firmy.cz/detail/13211375-medova-hospudka-chlum-u-trebone-mirochov.html;4.9;187;49.005970;14.938152;None;None
